viewpoint,time_index,reference_Ev_lx,reference_DGP,EIGCM_Ev_lx,EIGCM_DGP,Jones_dcglare_Ev_lx,Jones_dcglare_DGP,Raytraverse_Balanced_Ev_lx,Raytraverse_Balanced_DGP
Viewpoint 1,324,1330.827724,0.2601,1339.3881,0.2423713,1354.7837,0.2434665,1319.6095699442185,0.2588455195894139
Viewpoint 1,325,1243.726941,0.253566,1252.9827,0.2364355,1267.3218,0.236197,1238.1127675329135,0.252159906083415
Viewpoint 1,326,1002.708779,0.22793,1011.7457,0.2187948,1023.2877,0.220067,1006.2510066756158,0.22283573507173
Viewpoint 1,327,670.836738,0.198378,676.76794,0.1987263,684.50287,0.2001803016372044,672.8569483814553,0.1994967028699914
Viewpoint 1,328,313.07708,0.177378,315.05582,0.1774938,318.64124,0.1787041919044919,310.1607729954873,0.1782064373748351
Viewpoint 1,343,16.624607,0.159976,16.735003,0.1599823,16.92539,0.1609934900659973,16.688678522253888,0.1609796254292563
Viewpoint 1,344,114.334664,0.165711,115.01926,0.1657516,116.3213,0.1668278609050273,114.14374892794665,0.1667002380620704
Viewpoint 1,345,226.177816,0.172277,228.02119,0.1723848,230.61115,0.1735367027614096,225.1165819473444,0.1732143433603091
Viewpoint 1,346,320.885838,0.177836,323.95563,0.1780162,327.66336,0.1792338110702309,321.43256125333124,0.1788680913455705
Viewpoint 1,347,383.319298,0.181501,386.22662,0.1816715,390.68842,0.1829333679570869,383.1097810346168,0.182488544146732
Viewpoint 1,348,396.013498,0.182246,399.2323,0.1824349,403.89066,0.1837083900571599,394.0063373607369,0.1831281720030752
Viewpoint 1,349,361.589876,0.180225,363.60861,0.1803438,367.90012,0.1815956936196558,360.1740155839244,0.1811422147147763
Viewpoint 1,350,294.653999,0.176296,296.24744,0.1763897,299.78693,0.1775974910551186,295.5242256134956,0.1773472720435122
Viewpoint 1,351,198.701877,0.170664,199.82338,0.1707296,202.23671,0.1718711525638962,199.67475705494223,0.1717209082391251
Viewpoint 1,352,90.57042,0.164316,90.951195,0.1643388,92.054298,0.1654035602464183,90.21307729099796,0.1652955076369816
Viewpoint 1,367,322.228475,0.177952,350.27158,0.1795609,358.15378,0.1810236133444074,300.09087398125735,0.1776153343026998
Viewpoint 1,368,1087.509375,0.232711,1094.9142,0.2242115,1108.1797,0.2265301,1078.4119872310669,0.227136053400186
Viewpoint 1,369,2116.37391,0.304855,2126.9106,0.2950713,2153.2673,0.2911336,2086.326286035278,0.3050005592622082
Viewpoint 1,370,5825.566977,0.519398,5842.3755,0.5087956,6104.1616,0.5210422,4542.441917096,0.4429927570976611
Viewpoint 1,371,7592.564514,0.642038,7413.5405,0.602548,7694.3257,0.6156422,6345.55202685143,0.550315120275063
Viewpoint 1,372,12137.674105,0.96788,14554.515,1.0,12289.356,0.895518,7903.545817692558,0.6447570797998884
Viewpoint 1,373,20160.449365,1.0,12954.398,1.0,20609.047,1.0,9796.686318500628,0.7571497907182067
Viewpoint 1,374,29832.959094,1.0,34574.023,1.0,29515.896,1.0,36486.68138769067,1.0
Viewpoint 1,375,2620.667365,0.340286,2666.2334,0.3322558,2688.2163,0.3303042,2587.6476519164244,0.3396607498918482
Viewpoint 1,376,2731.840818,0.346142,2824.7747,0.3426965,2881.9985,0.3436171,2503.727413084716,0.3416618851470563
Viewpoint 1,391,16.611718,0.159975,16.735838,0.1599824,16.926325,0.1609935243135265,16.6895514907836,0.160979676672509
Viewpoint 1,392,99.138802,0.164819,99.634315,0.1648485,100.76188,0.1659144162261569,98.88635214648592,0.1658046288709987
Viewpoint 1,393,196.244937,0.17052,197.53505,0.1705953,199.77788,0.1717268189042321,195.0408472477721,0.1714488977334442
Viewpoint 1,394,276.10427,0.175207,278.42609,0.1753436,281.61206,0.1765306329586979,276.29036213772054,0.1762182442574842
Viewpoint 1,395,339.267446,0.178915,341.03516,0.1790188,344.97525,0.1802500145850175,338.31910266024994,0.1798593313261566
Viewpoint 1,396,351.347315,0.179624,354.33737,0.1797996,358.47397,0.1810423871988643,349.74292755508327,0.1805299098474834
Viewpoint 1,397,316.675802,0.177589,319.01904,0.1777264,322.78821,0.1789476496519108,316.05804897439293,0.1785526074747968
Viewpoint 1,398,250.715991,0.173717,252.04446,0.173795,255.06187,0.1749720744416895,251.4891698609931,0.1747624142708403
Viewpoint 1,399,170.211161,0.168991,170.73338,0.1690221,172.80093,0.1701433065793019,170.66905466153227,0.1700182735086319
Viewpoint 1,400,76.332717,0.163481,76.632027,0.1634983,77.565071,0.1645529674047238,76.05599456643776,0.1644644868810499
Viewpoint 1,415,62.729471,0.162682,63.195404,0.1627096,63.917141,0.1637518389728864,63.08493733199635,0.1637030858213881
Viewpoint 1,416,360.868573,0.180183,363.7739,0.1803535,367.93771,0.1815979235805984,360.4691527014916,0.1811595392635775
Viewpoint 1,417,688.401694,0.199409,693.62415,0.1997157,701.58875,0.2011832346402059,683.9209559493037,0.2001461601142241
Viewpoint 1,418,989.035811,0.225839,993.53827,0.2177233,1004.9816,0.2189924,984.5702649778656,0.2204895345654918
Viewpoint 1,419,1177.948727,0.246297,1189.924,0.2317639,1203.6459,0.2323965,1179.101984537995,0.2448150973914091
Viewpoint 1,420,1242.109347,0.253312,1251.9924,0.2363188,1266.4105,0.2360997,1233.8309878878529,0.2518329722801001
Viewpoint 1,421,1154.709559,0.242725,1162.7908,0.23014,1176.1584,0.2308023,1149.4454516988264,0.2424836468836348
Viewpoint 1,422,927.859827,0.21729,934.70239,0.213867,945.44531,0.2154976016450535,930.0607554589296,0.2145945663454392
Viewpoint 1,423,623.981404,0.195628,629.65613,0.1959608,636.91797,0.1973870765788423,626.5201689345296,0.1967767339164569
Viewpoint 1,424,296.132873,0.176383,298.14859,0.1765013,301.58347,0.1777029289632083,293.90499032316245,0.1772522229319696
Viewpoint 1,439,91.493726,0.164371,92.34272,0.1644205,93.40052,0.1654824937365615,92.13065176920732,0.1654080692588524
Viewpoint 1,440,566.208956,0.192236,571.271,0.1925336,577.88599,0.1939219331584348,565.2861110588536,0.1931822947191547
Viewpoint 1,441,1088.214818,0.234056,1094.2927,0.224094,1107.0255,0.2264523,1077.7293145754209,0.2344996635552437
Viewpoint 1,442,1544.518997,0.273499,1553.9055,0.2586593,1571.9694,0.2566428,1538.1279807046374,0.272884124386062
Viewpoint 1,443,1884.161445,0.294278,1894.3564,0.2816332,1916.218,0.2770702,1875.404391380544,0.2943521299330437
Viewpoint 1,444,1994.307027,0.301193,2012.3934,0.2889259,2035.2346,0.2844093,1980.4081339330955,0.3009497096325411
Viewpoint 1,445,1896.834029,0.295359,1908.6023,0.282739,1929.8313,0.2783554,1882.4985185387125,0.2951652260120667
Viewpoint 1,446,1548.70535,0.274518,1559.9308,0.2594837,1576.9784,0.2574176,1547.929689942285,0.2745041219543379
Viewpoint 1,447,1043.246358,0.232544,1052.2972,0.2215872,1063.7672,0.2240374,1038.7502560782802,0.2290563773117284
Viewpoint 1,448,509.502159,0.188908,513.46857,0.1891406,519.02679,0.190466862599859,502.8395307082518,0.1895166804525744
Viewpoint 1,463,399.781123,0.184233,471.29739,0.1866652,485.27155,0.1884853974219293,358.2153378992724,0.1810272403346872
Viewpoint 1,464,2891.056679,0.394252,3160.0957,0.4058832,3037.0505,0.3387662,2568.6581293489257,0.4120842067743635
Viewpoint 1,465,4983.889013,0.483666,5474.7393,0.5137216,5223.8711,0.467572,3819.075027757529,0.4060726605282362
Viewpoint 1,466,6326.850505,0.560116,6481.3906,0.5448869,6877.0742,0.5653619,4418.812544926965,0.4360045732082601
Viewpoint 1,467,7985.693637,0.672605,7969.9951,0.6324345,8390.6885,0.6548245,6314.0721608667,0.550190759679217
Viewpoint 1,468,6019.31688,0.535467,6038.6934,0.5291914,6103.252,0.5284291,5876.757705963545,0.5275091711960138
Viewpoint 1,469,6336.188776,0.555508,6385.5088,0.5511321,6441.4272,0.550036,6186.462518542796,0.5474150803204034
Viewpoint 1,470,39397.90497,1.0,47282.0,1.0,38329.543,1.0,49036.78539902808,1.0
Viewpoint 1,471,38193.635166,1.0,51068.012,1.0,29855.811,1.0,35089.088731406504,1.0
Viewpoint 1,472,2601.798887,0.336707,2845.3611,0.3415731,2936.1746,0.345738,2501.712673177816,0.342235668982159
Viewpoint 1,487,63.085519,0.162703,63.314407,0.1627166,64.03788,0.1637588763363692,63.20535353734749,0.1637101542526423
Viewpoint 1,488,319.987607,0.177783,321.65118,0.1778809,325.32571,0.1790966095723313,318.84101070163416,0.1787159673281859
Viewpoint 1,489,589.819642,0.193622,595.31305,0.1939449,602.13055,0.195345048334017,587.196290743883,0.1944684222666659
Viewpoint 1,490,830.573027,0.207756,838.04572,0.2081933,847.67963,0.2097587167292262,830.8049167340886,0.208768248612291
Viewpoint 1,491,995.408589,0.226814,1003.9819,0.2183323,1015.5624,0.2196135,995.1832193275034,0.2224283430788339
Viewpoint 1,492,1055.660937,0.231814,1062.8805,0.2221992,1075.1627,0.2236123,1058.580887962962,0.2325371794173
Viewpoint 1,493,978.491158,0.225274,984.79224,0.2172072,996.19513,0.2184766004933711,974.0803671626268,0.2199236275166749
Viewpoint 1,494,794.532293,0.205639,799.20789,0.2059135,808.48999,0.2074583423801949,795.7887200979536,0.2067127978697499
Viewpoint 1,495,535.373666,0.190426,538.69348,0.1906213,544.98584,0.1919906768276355,534.6539553964351,0.1913841871817707
Viewpoint 1,496,251.054352,0.173737,252.18814,0.1738034,255.14201,0.174976733436198,249.08881079796,0.1746215131938402
Viewpoint 1,511,48.152789,0.161827,48.415539,0.161842,48.968163,0.1628742957507915,48.34532256214575,0.1628378704343979
Viewpoint 1,512,262.447274,0.174406,264.28552,0.1745136,267.29703,0.1756903288579229,262.07663762487164,0.1753838986285799
Viewpoint 1,513,491.330271,0.187841,495.20135,0.1880683,500.85864,0.1894004203895893,488.5992381950108,0.1886807752820471
Viewpoint 1,514,704.947998,0.20038,709.06421,0.2006221,717.20502,0.2020998692043291,703.1316594707819,0.2012738284109348
Viewpoint 1,515,839.049426,0.208254,845.33264,0.208621,855.08612,0.2101935140338492,838.126601841745,0.2091980315281104
Viewpoint 1,516,883.959569,0.211602,888.16553,0.2111353,898.45752,0.2127394050158255,884.9538981738699,0.2119467938228061
Viewpoint 1,517,817.677353,0.206998,822.90698,0.2073046,832.48981,0.2088671239855911,814.3416137387172,0.2078018527264627
