case,reference_range,method,n,MAE,RMSE,MBE,median_AE,P95_AE,max_AE,CCC,fit_R2,slope,intercept,source_file,P99_AE
C2,DGP >= 0.45,EIGCM (MF1),3253,0.0148071196126652,0.0285127082844157,-0.0018173968951736,0.0095787999999999,0.0494259199999999,,0.9899136985992264,0.980793276863086,1.0187541975924843,-0.0147408403329697,stratified_dgp_metrics.csv,0.0777388959999999
C2,DGP >= 0.45,Jones dcglare,3253,0.0189865127574546,0.0342613766434167,-0.0049900992929603,0.0119337999999999,0.0636535999999999,,0.9853958494522598,0.972228859592363,1.011279312210563,-0.0127626287574503,stratified_dgp_metrics.csv,0.1048161079999999
C2,DGP >= 0.45,Raytraverse Balanced,3253,0.0788670230148076,0.1239073884035192,-0.0461989271541798,0.0522185123410012,0.2776505016284113,,0.8261250940598311,0.7227028782570624,0.9313874683567116,0.0010816972203564,stratified_dgp_metrics.csv,0.4514172053395757
C3,DGP < 0.34,EIGCM (MF1),17958,0.0004895945818019,0.0041838342648296,-0.0001221461131529,4.1200000000019e-05,0.001047505,0.1716919,0.862284891254355,0.7438344685470393,0.873696392688669,0.0201636342456449,stratified_dgp_metrics.csv,
C3,DGP < 0.34,Jones dcglare,17958,0.0019925880225392,0.0091177768408888,0.0008242526406374,0.0010311920503116,0.0021018153516013,0.178314391790548,0.1098350529354318,0.0139845027567947,0.0817693984519194,0.1483024181360746,stratified_dgp_metrics.csv,
C3,DGP < 0.34,Raytraverse Balanced,17958,0.0039506179880668,0.0283387994984231,0.0028649099757372,0.0010111979871805,0.0018669356409653,0.3839342431737794,0.040578348221057,0.0060021854358521,0.2707635235897705,0.119988492627002,stratified_dgp_metrics.csv,
C3,DGP < 0.34,Raytraverse High,17958,0.0039841840491977,0.028276963922298,0.0028994018738063,0.0010090013053679,0.0018738604362603,0.372847163625275,0.0411171313727121,0.0061429855820472,0.2733160993509347,0.1196130121391476,stratified_dgp_metrics.csv,
C3,0.34 <= DGP < 0.38,EIGCM (MF1),24,0.0088988666666666,0.0111357922987095,0.0024288499999999,0.0079028,0.0200771749999999,0.0251070999999999,0.6694432093807835,0.4844155972360343,0.8634150796696771,0.0517323184463976,stratified_dgp_metrics.csv,
C3,0.34 <= DGP < 0.38,Jones dcglare,24,0.1972966300696909,0.1977739785481769,-0.1972966300696909,0.2004205535565019,0.2143218746845837,0.2163470661903208,0.0015460897324145,0.0607990397297657,0.2082354675190153,0.0885089885135676,stratified_dgp_metrics.csv,
C3,0.34 <= DGP < 0.38,Raytraverse Balanced,24,0.1690813953196549,0.1833820958469517,-0.1656322888317537,0.1988115127561808,0.2152759920688899,0.2167876899546688,0.0043102341764943,0.0058804970208485,0.5004957739948005,0.0146752501420211,stratified_dgp_metrics.csv,
