case,view_id,time_index,reference_DGP,reference_Ev_lx,EIGCM_DGP,EIGCM_Ev_lx,Jones_dcglare_DGP,Jones_dcglare_Ev_lx,Raytraverse_Balanced_DGP,Raytraverse_Balanced_Ev_lx,Raytraverse_High_DGP,Raytraverse_High_Ev_lx
C1,4,8527,0.172579,231.325,0.1738935,253.72275,0.17535993,261.67016602,0.17295576,220.71134376,0.17348937,229.80183804
C1,4,8528,0.341725,2644.69,0.3234874,2802.1707,0.3410991,3085.16040039,0.32864447,2560.42529233,0.3352238,2671.32756095
C1,4,8529,0.367165,3224.84,0.3581628,3392.8926,0.3594046,3396.99951172,0.34746431,3016.82577488,0.36001026,3213.55437997
C1,4,8530,0.412158,3833.37,0.3923399,3954.0249,0.3928513,3966.77783203,0.38801364,3717.29832538,0.39410049,3810.1175869
C1,4,8531,0.393646,3837.229,0.3897784,3904.1184,0.3916816,3886.11425781,0.3855232,3695.63526797,0.38284442,3642.1987575
C1,4,8532,0.407641,4063.717,0.4137112,4304.8408,0.4141059,4261.65380859,0.39803201,3893.47733534,0.4020882,3954.63272754
C1,4,8533,0.426135,4409.767,0.4125225,4287.2529,0.424151,4320.14453125,0.41240147,4147.87991282,0.41674154,4218.50570739
C1,4,8534,0.458929,4631.984,0.4478258,4882.4922,0.4493156,4886.83251953,0.43488322,4526.44686093,0.44590161,4703.79395989
C1,4,8535,0.367972,3417.726,0.3785462,3686.4817,0.3825648,3767.18212891,0.34911638,3090.22796956,0.36576341,3367.28810265
C1,4,8536,0.201823,729.528,0.202047,733.3396,0.20333212,738.19927979,0.20054896,690.7829411,0.20162323,709.08399419
C1,5,1902,0.178664,334.999,0.1799509,356.91501,0.18064189,351.652771,0.17766156,300.8783748,0.17840289,313.50746197
C1,5,1903,0.229398,1199.284,0.2282974,1180.5355,0.2293125,1180.79675293,0.22612459,1126.4835846,0.22790131,1156.75138759
C1,5,1904,0.449909,4767.167,0.4589587,5043.7495,0.4563345,4928.73535156,0.44894263,4729.45703935,0.43200792,4463.85609369
C1,5,1905,0.560596,6617.369,0.5571504,6687.2715,0.5573958,6612.19189453,0.53379251,6201.79964794,0.53995368,6288.25414455
C1,5,1906,0.435355,4565.92,0.4245664,4472.8936,0.4338838,4473.25390625,0.42127789,4304.29462077,0.42831733,4411.45740646
C1,5,1907,0.481361,5337.487,0.4700538,5236.7788,0.4793156,5238.83984375,0.46607406,5058.31452861,0.47372908,5179.77674739
C1,5,1908,0.509201,5809.253,0.4956043,5670.4453,0.5053285,5674.08984375,0.49078567,5474.48224995,0.49926666,5610.05801157
C1,5,1909,0.50908,5804.06,0.4971991,5695.0952,0.5073116,5698.77001953,0.49340922,5513.56196875,0.50021864,5619.865442
C1,5,1910,0.482287,5347.678,0.4730101,5278.5791,0.483545,5281.44042969,0.46627999,5046.06706217,0.47532664,5185.16808267
C1,5,1911,0.425884,4387.911,0.4187894,4346.5444,0.4295731,4349.18994141,0.41191344,4108.23311519,0.42124238,4247.7967863
C1,5,1912,0.344143,2992.684,0.3350586,2950.0237,0.3474941,2953.74536133,0.33248059,2739.82544356,0.34094366,2862.0263202
C1,5,1913,0.455038,4736.177,0.4620374,4639.5327,0.4699212,4657.74511719,0.42592657,3929.74647128,0.46195507,4449.93190411
C1,5,4109,0.160246,21.219,0.1602232,20.838985,0.16122409,20.85824394,0.16116199,19.79541899,0.1611972,20.39530122
C1,5,4110,0.172155,224.112,0.1719692,220.94133,0.17297974,221.13317871,0.17234701,210.34087115,0.17267512,215.93045826
C1,5,4111,0.186554,469.406,0.1861749,462.94568,0.18719701,463.32452393,0.18585652,440.4858448,0.1865573,452.42425697
C1,5,4112,0.202485,740.794,0.2016513,726.59735,0.20268419,727.16015625,0.2004611,689.28625401,0.20165217,709.57693327
C1,5,4113,0.216997,988.028,0.2158121,967.8374,0.2168538,968.55114746,0.21412589,922.07641205,0.21548325,945.20024022
C1,5,4114,0.228322,1180.948,0.2272605,1162.8711,0.2283085,1163.69299316,0.22510886,1109.17981279,0.22676027,1137.3129824
C1,5,4115,0.235892,1309.908,0.2349264,1293.4659,0.2359781,1294.34912109,0.23243256,1233.94484835,0.23436344,1266.8387594
C1,5,4116,0.238742,1358.459,0.237179,1331.8397,0.2382327,1332.75891113,0.23450581,1269.26429776,0.23653181,1303.77868985
C1,5,4117,0.235023,1295.111,0.2336181,1271.1765,0.2346717,1272.09399414,0.23114648,1212.03537676,0.23297627,1243.20726543
C1,5,4118,0.2263,1146.516,0.2249085,1122.8032,0.2259581,1123.65148926,0.22225659,1060.58918374,0.22443353,1097.67509604
C1,5,4119,0.212395,909.617,0.2114334,893.24384,0.21247481,893.95141602,0.2096712,846.18732515,0.21123361,872.80425905
C1,5,4120,0.19662,640.88,0.1959367,629.2453,0.19696733,629.76965332,0.19512521,598.38514643,0.19606413,614.3804773
C1,5,4121,0.181427,382.056,0.1809773,374.40018,0.18199628,374.72528076,0.18085319,355.2501832,0.18147958,365.92133203
C1,5,4122,0.168847,167.748,0.1687352,165.84723,0.16974328,166.00541687,0.16924959,157.57399421,0.16950828,161.98098404
C1,5,8527,0.171683,216.068,0.1739209,254.18997,0.1747761,251.72572327,0.1719962,204.36462312,0.17257753,214.26790505
C1,5,8528,0.302423,2146.838,0.2972976,2356.0068,0.3006994,2396.92138672,0.29171083,2037.38341674,0.29773219,2129.05619162
C1,5,8529,0.326524,2637.123,0.3244296,2818.2222,0.3259784,2827.56860352,0.30973178,2432.22695778,0.32083739,2596.35740281
C1,5,8530,0.36426,3102.066,0.3495735,3169.7822,0.3549324,3320.81445312,0.34036499,2957.16052183,0.34904558,3074.20599681
C1,5,8531,0.371847,3462.089,0.3688413,3489.375,0.3717411,3552.03979492,0.36258922,3318.21405725,0.36647194,3355.33122326
