case,view_id,method,n,RMSE
C1,90,Raytraverse Balanced,36,0.08689502748990294
C1,90,Raytraverse High,36,0.08684308860756557
C1,91,EIGCM (MF1),36,0.008515777835566297
C1,91,Jones dcglare,36,0.008538450900185946
C1,91,Raytraverse Balanced,36,0.019427242272030514
C1,91,Raytraverse High,36,0.0211363914047444
C1,92,EIGCM (MF1),36,0.009452741067468799
C1,92,Jones dcglare,36,0.03141991610224718
C1,92,Raytraverse Balanced,36,0.05397942316393733
C1,92,Raytraverse High,36,0.05445890562365736
C1,93,EIGCM (MF1),36,0.00962382869405416
C1,93,Jones dcglare,36,0.009771858761155966
C1,93,Raytraverse Balanced,36,0.07948930001709975
C1,93,Raytraverse High,36,0.07997829140810506
C1,94,EIGCM (MF1),36,0.016467906014224553
C1,94,Jones dcglare,36,0.05281473602093449
C1,94,Raytraverse Balanced,36,0.08411534151398507
C1,94,Raytraverse High,36,0.085524875321699
C1,95,EIGCM (MF1),36,0.0075424344559631455
C1,95,Jones dcglare,36,0.05879965480882191
C1,95,Raytraverse Balanced,36,0.13051648625978907
C1,95,Raytraverse High,36,0.1295770414029813
C1,96,EIGCM (MF1),36,0.013450521845328767
C1,96,Jones dcglare,36,0.08750487372834112
C1,96,Raytraverse Balanced,36,0.10701910610205145
C1,96,Raytraverse High,36,0.1055998205515033
C1,97,EIGCM (MF1),36,0.012039414940369367
C1,97,Jones dcglare,36,0.0641919802161211
C1,97,Raytraverse Balanced,36,0.011226653510065777
C1,97,Raytraverse High,36,0.009486256291180476
C1,98,EIGCM (MF1),36,0.11657720151224896
C1,98,Jones dcglare,36,0.12066882893026916
C1,98,Raytraverse Balanced,36,0.11729721290910958
C1,98,Raytraverse High,36,0.13485018959188896
C1,99,EIGCM (MF1),36,0.006989753131409977
C1,99,Jones dcglare,36,0.007988346730797756
C1,99,Raytraverse Balanced,36,0.019408304460770354
C1,99,Raytraverse High,36,0.01882379364876708
C1,100,EIGCM (MF1),36,0.00957176389384133
C1,100,Jones dcglare,36,0.014236471341846791
C1,100,Raytraverse Balanced,36,0.04073000466701453
C1,100,Raytraverse High,36,0.042474415491207014
C1,101,EIGCM (MF1),36,0.009903762719500431
C1,101,Jones dcglare,36,0.04424063152351008
C1,101,Raytraverse Balanced,36,0.1308430031229963
C1,101,Raytraverse High,36,0.13372906706984522
C1,102,EIGCM (MF1),36,0.010690800628564838
C1,102,Jones dcglare,36,0.06736609707865185
C1,102,Raytraverse Balanced,36,0.10247671180129327
C1,102,Raytraverse High,36,0.10311220574124302
C1,103,EIGCM (MF1),36,0.0038556772199504078
C1,103,Jones dcglare,36,0.024910786137735758
C1,103,Raytraverse Balanced,36,0.10105757147945149
C1,103,Raytraverse High,36,0.10043819724353753
C1,104,EIGCM (MF1),36,0.005579679928519403
C1,104,Jones dcglare,36,0.023331819823621484
C1,104,Raytraverse Balanced,36,0.11382929283145166
C1,104,Raytraverse High,36,0.11416267342415094
C1,105,EIGCM (MF1),36,0.01108251969477159
C1,105,Jones dcglare,36,0.07105403299688698
C1,105,Raytraverse Balanced,36,0.13620069138364937
C1,105,Raytraverse High,36,0.1688991628313706
C1,106,EIGCM (MF1),36,0.009411324383983139
C1,106,Jones dcglare,36,0.0058519692568537235
C1,106,Raytraverse Balanced,36,0.06139950159713023
C1,106,Raytraverse High,36,0.08998085699611517
C1,107,EIGCM (MF1),36,0.01120204326219353
C1,107,Jones dcglare,36,0.00856010946737654
C1,107,Raytraverse Balanced,36,0.007170164010621257
C1,107,Raytraverse High,36,0.007145137527241088
C1,108,EIGCM (MF1),36,0.009242411513717018
C1,108,Jones dcglare,36,0.006168208432152552
C1,108,Raytraverse Balanced,36,0.011561043988854217
C1,108,Raytraverse High,36,0.009201071710849924
C1,109,EIGCM (MF1),36,0.007323780795842789
C1,109,Jones dcglare,36,0.04178851045479623
C1,109,Raytraverse Balanced,36,0.095272641839835
C1,109,Raytraverse High,36,0.08952014520422309
C1,110,EIGCM (MF1),36,0.006827062622407807
C1,110,Jones dcglare,36,0.07156202186439072
C1,110,Raytraverse Balanced,36,0.12037014027013743
C1,110,Raytraverse High,36,0.11777717786511328
C1,111,EIGCM (MF1),36,0.0034447426317747833
C1,111,Jones dcglare,36,0.037520306110690876
C1,111,Raytraverse Balanced,36,0.14896659409771176
C1,111,Raytraverse High,36,0.14200311171031407
C1,112,EIGCM (MF1),36,0.005700815146343351
C1,112,Jones dcglare,36,0.04244780837523106
C1,112,Raytraverse Balanced,36,0.1577061701163353
C1,112,Raytraverse High,36,0.16126704814706652
C1,113,EIGCM (MF1),36,0.01671411064737748
C1,113,Jones dcglare,36,0.07718169841638264
C1,113,Raytraverse Balanced,36,0.11429552665941319
C1,113,Raytraverse High,36,0.15938454627406196
C1,114,EIGCM (MF1),36,0.009679652739237203
C1,114,Jones dcglare,36,0.03650210223043584
C1,114,Raytraverse Balanced,36,0.014020799696892591
C1,114,Raytraverse High,36,0.06500514814239235
C1,115,EIGCM (MF1),36,0.007700113584768297
C1,115,Jones dcglare,36,0.009147221145835152
C1,115,Raytraverse Balanced,36,0.00599746852511657
C1,115,Raytraverse High,36,0.006825540877499099
C1,116,EIGCM (MF1),36,0.012923397801855354
C1,116,Jones dcglare,36,0.0540342107728375
C1,116,Raytraverse Balanced,36,0.07425893829962679
C1,116,Raytraverse High,36,0.07236735281918594
C1,117,EIGCM (MF1),36,0.0060654819102762955
C1,117,Jones dcglare,36,0.0217058494762379
C1,117,Raytraverse Balanced,36,0.13735814419251002
C1,117,Raytraverse High,36,0.13227241243346866
C1,118,EIGCM (MF1),36,0.002394333549932695
C1,118,Jones dcglare,36,0.036208374146950446
C1,118,Raytraverse Balanced,36,0.1420984522133502
C1,118,Raytraverse High,36,0.1461722767742132
C1,119,EIGCM (MF1),36,0.003239183823597464
C1,119,Jones dcglare,36,0.07923608600244575
C1,119,Raytraverse Balanced,36,0.14822900622096002
C1,119,Raytraverse High,36,0.15476156634691954
C1,120,EIGCM (MF1),36,0.011083051867340812
C1,120,Jones dcglare,36,0.08145487115008303
C1,120,Raytraverse Balanced,36,0.1286460012183208
C1,120,Raytraverse High,36,0.15238410691252666
C1,121,EIGCM (MF1),36,0.015431136960226806
C1,121,Jones dcglare,36,0.07734237592347684
C1,121,Raytraverse Balanced,36,0.23103336738379132
C1,121,Raytraverse High,36,0.23087125626505797
C1,122,EIGCM (MF1),36,0.008950216286539303
C1,122,Jones dcglare,36,0.07206404889468822
C1,122,Raytraverse Balanced,36,0.09304409381607169
C1,122,Raytraverse High,36,0.09299041225716305
C1,123,EIGCM (MF1),36,0.008536913693386697
C1,123,Jones dcglare,36,0.007474289589953235
C1,123,Raytraverse Balanced,36,0.006814057907577291
C1,123,Raytraverse High,36,0.007239185316401667
C1,124,EIGCM (MF1),36,0.012692259987324287
C1,124,Jones dcglare,36,0.04167398499607487
C1,124,Raytraverse Balanced,36,0.014610904869343974
C1,124,Raytraverse High,36,0.012498891762848087
C1,125,EIGCM (MF1),36,0.0047751521165124555
C1,125,Jones dcglare,36,0.01550770612912927
C1,125,Raytraverse Balanced,36,0.04255682097114388
C1,125,Raytraverse High,36,0.03822344839427109
C1,126,EIGCM (MF1),36,0.0037427000411541854
C1,126,Jones dcglare,36,0.02997023960034673
C1,126,Raytraverse Balanced,36,0.14542914339391233
C1,126,Raytraverse High,36,0.14324788864427437
C1,127,EIGCM (MF1),36,0.007009349823311399
C1,127,Jones dcglare,36,0.08172492107791275
C1,127,Raytraverse Balanced,36,0.22770786184187844
C1,127,Raytraverse High,36,0.22764357507123814
C1,128,EIGCM (MF1),36,0.017256082646498246
C1,128,Jones dcglare,36,0.09080878123618512
C1,128,Raytraverse Balanced,36,0.22810810974613505
C1,128,Raytraverse High,36,0.22807701149034956
C1,129,EIGCM (MF1),36,0.019882614310001528
C1,129,Jones dcglare,36,0.07639053519817468
C1,129,Raytraverse Balanced,36,0.11600314368296209
C1,129,Raytraverse High,36,0.11532732953469374
C1,130,EIGCM (MF1),36,0.013709673648680813
C1,130,Jones dcglare,36,0.07240230206307724
C1,130,Raytraverse Balanced,36,0.0632649941996488
C1,130,Raytraverse High,36,0.06310756458792223
C1,131,EIGCM (MF1),36,0.007669660360454188
C1,131,Jones dcglare,36,0.007235250290928282
C1,131,Raytraverse Balanced,36,0.0033190053871056157
C1,131,Raytraverse High,36,0.003918890575176292
C1,132,EIGCM (MF1),36,0.011797212477424488
C1,132,Jones dcglare,36,0.04318869135866242
C1,132,Raytraverse Balanced,36,0.009577342182659836
C1,132,Raytraverse High,36,0.006740235238391162
C1,133,EIGCM (MF1),36,0.01012806396727814
C1,133,Jones dcglare,36,0.0693811472683428
C1,133,Raytraverse Balanced,36,0.09223565393808775
C1,133,Raytraverse High,36,0.09193980816467222
C1,134,EIGCM (MF1),36,0.00821676267056829
C1,134,Jones dcglare,36,0.11877131592401344
C1,134,Raytraverse Balanced,36,0.14708519975557652
C1,134,Raytraverse High,36,0.14639625126231195
C1,135,EIGCM (MF1),36,0.016817980270589707
C1,135,Jones dcglare,36,0.10716409508411662
C1,135,Raytraverse Balanced,36,0.15545324961800075
C1,135,Raytraverse High,36,0.15536902795141025
C1,136,EIGCM (MF1),36,0.01720352056353582
C1,136,Jones dcglare,36,0.08177971535730583
C1,136,Raytraverse Balanced,36,0.1455096381432744
C1,136,Raytraverse High,36,0.14542770101336736
C1,137,EIGCM (MF1),36,0.00893121964955578
C1,137,Jones dcglare,36,0.07921075419518463
C1,137,Raytraverse Balanced,36,0.018778562858716055
C1,137,Raytraverse High,36,0.01859559953323972
C1,138,EIGCM (MF1),36,0.02272437619820399
C1,138,Jones dcglare,36,0.03751582403920468
